Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 19/10/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
MAX STOCK,MAXO,1168558,IL0011685588,0.18449,1655,1163.00,1140.0000,No,142344680,50.32,60.00,142344680.00,85406808.00,1,817,10/10/2021
INFINYA,INFN,632018,IL0006320183,0.18037,1619,25400.00,25480.0000,No,6375835,54.43,60.00,6371981.00,3823188.60,1,884,10/10/2021
DORAL ENERGY,DORL,1166768,IL0011667685,0.18020,2156,1467.00,1462.0000,No,146967000,38.23,45.00,146967000.00,66135150.00,1,821,10/10/2021
BRACK CAPIT N V,BCNV,1121607,NL0009690619,0.17967,2764,35750.00,35850.0000,No,7730875,30.19,35.00,7730875.00,2705806.25,1,837,10/10/2021
FRESHMARKET,FRSM,1157833,IL0011578338,0.17651,2112,1377.00,1383.0000,No,153360000,35.11,45.00,153360000.00,69012000.00,1,745,10/10/2021
BONUS BIOGROUP,BONS,485011,IL0004850116,0.17045,1529,132.60,131.0000,No,1153422100,48.21,60.00,1153422100.00,692053260.00,1,728,10/10/2021
ELECTREON,ELWS,368019,IL0003680191,0.16625,1492,15340.00,15450.0000,No,9725041,42.75,60.00,9724695.00,5834817.00,1,642,10/10/2021
MEDITR TOWER,MDTR,1131523,IL0011315236,0.16223,1456,970.10,971.1000,No,150058927,51.35,60.00,150058927.00,90035356.20,1,748,10/10/2021
NOVOLOG,NVLG,1140151,IL0011401515,0.16074,1445,285.30,288.6000,No,506491797,57.36,60.00,505559156.00,303335493.60,1,838,10/10/2021
DIRECT FINANCE,DIFI,1168186,IL0011681868,0.16036,1919,75400.00,76700.0000,No,2544679,44.26,45.00,2544583.00,1145062.35,1,864,10/10/2021
