Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 02/10/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
NAPHTHA,NFTA,643015,IL0006430156,0.11822,1765,1874.00,1810.0000,No,94166944,32.74,35.00,94166944.00,32958430.40,1,558,04/09/2022
POLYRAM PLS,POLP,1170216,IL0011702169,0.11511,1336,1253.00,1210.0000,No,106659600,42.76,45.00,106659600.00,47996820.00,1,552,04/09/2022
PLASSON INDUS,PLSN,1081603,IL0010816036,0.10906,1628,17050.00,16520.0000,No,9547955,30.85,35.00,9547955.00,3341784.25,1,487,04/09/2022
NAYAX,NYAX,1175116,IL0011751166,0.10646,2782,8460.00,8461.0000,No,32882230,22.52,20.00,32873314.00,6574662.80,1,627,11/09/2022
ALTSHULER FIN,ALTF,1184936,IL0011849366,0.10187,1521,771.30,727.5000,No,197162733,30.19,35.00,197153916.00,69003870.60,1,433,04/09/2022
DANYA CEBUS,DNYA,1173137,IL0011731374,0.09905,2587,8300.00,7845.0000,No,31173177,24.66,20.00,31173177.00,6234635.40,1,603,04/09/2022
HAGAG,HGG,823013,IL0008230133,0.09761,1133,1887.00,1881.0000,No,60056691,35.88,45.00,60056691.00,27025510.95,1,405,04/09/2022
LEVINSTEIN PROP,LVPR,1119080,IL0011190803,0.08742,1305,9061.00,8582.0000,No,14401750,30.16,35.00,14401750.00,5040612.50,1,373,04/09/2022
DUNIEC,DUNI,400010,IL0004000100,0.08040,1715,19000.00,18370.0000,No,9025298,30.05,35.00,9023888.00,3158360.80,0.7,498,04/09/2022
ILEX MEDICAL,ILX,1080753,IL0010807530,0.07960,924,8193.00,8112.0000,No,11280622,38.06,45.00,11280622.00,5076279.90,1,348,04/09/2022
ISRAEL SHIPYARD,ISHI,1168533,IL0011685331,0.07683,2007,8028.00,7726.0000,No,25000000,20.00,20.00,25000000.00,5000000.00,1,386,04/09/2022
MALAM TEAM,MLTM,156018,IL0001560189,0.06499,1698,7754.00,7749.0000,No,21895230,24.28,20.00,21895230.00,4379046.00,1,412,04/09/2022
DIPLOMAT HOLDI.,DIPL,1173491,IL0011734915,0.05622,1175,4293.00,4305.0000,No,27368420,26.66,25.00,27368420.00,6842105.00,1,314,04/09/2022
DELTA BRANDS,DLTI,1173699,IL0011736993,0.05198,1358,5431.00,5399.0000,No,25000000,20.00,20.00,25000000.00,5000000.00,1,270,04/09/2022
