Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 13/12/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
LAND DEV,ILDC,612010,IL0006120104,0.18858,1617,4262.00,4280.0000,No,37949827,46.32,60.00,37949827.00,22769896.20,1,752,04/12/2022
ELECTRA REAL E.,ELCRE,1094044,IL0010940448,0.18344,2087,3700.00,3892.0000,No,56404684,39.78,45.00,56694691.00,25512610.95,1,873,04/12/2022
YOCHANANOF,YHNF,1161264,IL0011612640,0.18072,2657,18340.00,18340.0000,No,14487860,31.99,35.00,14487860.00,5070751.00,1,850,04/12/2022
DORAL ENERGY,DORL,1166768,IL0011667685,0.17576,1507,848.20,861.0000,No,177722867,48.92,60.00,177722867.00,106633720.20,1,749,04/12/2022
AURA,AURA,373019,IL0003730194,0.17381,1491,581.20,584.0000,No,256484210,48.18,60.00,256484210.00,153890526.00,1,722,04/12/2022
AZORIM,AZRM,715011,IL0007150118,0.17186,2527,1199.00,1197.0000,No,210740327,33.97,35.00,210740327.00,73759114.45,1,857,04/12/2022
ISRAS,ISRS,613034,IL0006130343,0.16489,3394,62810.00,63800.0000,No,5403896,30.00,25.00,5403896.00,1350974.00,1,1034,04/12/2022
NOVOLOG,NVLG,1140151,IL0011401515,0.16287,1397,274.60,277.2000,No,508703240,57.54,60.00,508703240.00,305221944.00,1,811,04/12/2022
IES,IES,431015,IL0004310152,0.16212,1390,23890.00,23600.0000,No,5820268,48.43,60.00,5820368.00,3492220.80,1,665,04/12/2022
PRASHKOVSKY,PRSK,1102128,IL0011021289,0.15332,1753,8322.00,8321.0000,No,21068551,35.05,45.00,21068551.00,9480847.95,1,614,04/12/2022
MEDITR TOWER,MDTR,1131523,IL0011315236,0.14451,1239,824.10,829.4000,No,150393415,50.88,60.00,150393415.00,90236049.00,1,635,04/12/2022
PROPERT & BUIL,PTBL,699017,IL0006990175,0.14372,1644,22260.00,23050.0000,No,7383332,36.82,45.00,7383332.00,3322499.40,1,627,04/12/2022
IDI INSUR,IDIN,1129501,IL0011295016,0.13520,1160,7902.00,8155.0000,No,14674913,50.45,60.00,14674913.00,8804947.80,1,604,04/12/2022
CARASSO MOTORS,CRSM,1123850,IL0011238503,0.13037,1917,2097.00,2100.0000,No,91404923,30.21,35.00,91404923.00,31991723.05,1,580,04/12/2022
TURPAZ,TRPZ,1175611,IL0011756116,0.11919,1752,1751.00,1779.0000,No,100084776,33.89,35.00,100084776.00,35029671.60,1,603,04/12/2022
DANYA CEBUS,DNYA,1173137,IL0011731374,0.10663,2744,8801.00,8823.0000,No,31173177,24.66,20.00,31173177.00,6234635.40,1,678,04/12/2022
NAPHTHA,NFTA,643015,IL0006430156,0.10126,1489,1581.00,1534.0000,No,94166944,32.74,35.00,94166944.00,32958430.40,1,473,04/12/2022
ALTSHULER FIN,ALTF,1184936,IL0011849366,0.10039,1476,748.40,773.2000,No,197234498,30.09,35.00,197232851.00,69031497.85,1,459,04/12/2022
HAGAG,HGG,823013,IL0008230133,0.09992,1140,1911.00,1940.0000,No,59642811,36.87,45.00,59792104.00,26906446.80,1,427,04/12/2022
POLYRAM PLS,POLP,1170216,IL0011702169,0.09943,1137,1066.00,1075.0000,No,106659600,42.75,45.00,106659600.00,47996820.00,1,490,04/12/2022
DUNIEC,DUNI,400010,IL0004000100,0.09680,1423,15770.00,15840.0000,No,9025444,30.16,35.00,9025444.00,3158905.40,1,431,04/12/2022
CARASSO REAL ES,CRSR,1187962,IL0011879629,0.09561,1874,3461.00,3432.0000,No,54158516,31.73,35.00,54158516.00,18955480.60,0.75,590,04/12/2022
PLASSON INDUS,PLSN,1081603,IL0010816036,0.08910,1310,13720.00,13910.0000,No,9547955,30.85,35.00,9547955.00,3341784.25,1,410,04/12/2022
ISRAEL SHIPYARD,ISHI,1168533,IL0011685331,0.08516,2191,8765.00,8525.0000,No,25000000,20.00,20.00,25000000.00,5000000.00,1,426,04/12/2022
ILEX MEDICAL,ILX,1080753,IL0010807530,0.08499,972,8616.00,9280.0000,No,11280622,38.06,45.00,11280622.00,5076279.90,1,398,04/12/2022
NAYAX,NYAX,1175116,IL0011751166,0.08353,2152,6531.00,6913.0000,No,32942961,22.66,20.00,32909725.00,6581945.00,1,516,04/12/2022
LEVINSTEIN PROP,LVPR,1119080,IL0011190803,0.08183,1203,8354.00,8457.0000,No,14401750,30.10,35.00,14401750.00,5040612.50,1,367,04/12/2022
SHIKN&BINUI ENE,SBEN,1188242,IL0011882425,0.08068,2768,301.90,308.8000,No,916776440,20.12,20.00,916776440.00,183355288.00,0.75,570,04/12/2022
MALAM TEAM,MLTM,156018,IL0001560189,0.06733,1732,7912.00,8069.0000,No,21895230,23.63,20.00,21895230.00,4379046.00,1,417,04/12/2022
DIPLOMAT HOLDI.,DIPL,1173491,IL0011734915,0.06115,1259,4599.00,4526.0000,No,27368420,26.66,25.00,27368420.00,6842105.00,1,330,04/12/2022
DELTA BRANDS,DLTI,1173699,IL0011736993,0.03647,939,3754.00,3833.0000,No,25000000,20.00,20.00,25000000.00,5000000.00,1,192,04/12/2022
